Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Demand Forecast,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality
2022-02-01,S004,P0005,Toys,West,99,4,76,14.91,60.89,5,Sunny,0,59.42,Autumn
2022-02-01,S004,P0006,Toys,East,97,47,138,52.02,14.71,5,Cloudy,0,16.85,Autumn
2022-02-01,S004,P0007,Furniture,West,339,115,95,124.22,33.09,10,Rainy,0,28.55,Spring
2022-02-01,S004,P0008,Toys,South,144,27,119,21.73,98.75,15,Snowy,0,102.7,Summer
2022-02-01,S004,P0009,Furniture,South,110,90,28,103.6,12.4,20,Snowy,0,8.56,Autumn
2022-02-01,S004,P0010,Groceries,South,348,206,67,214.99,92.01,15,Snowy,1,87.81,Autumn
2022-02-01,S004,P0011,Toys,East,458,328,144,339.54,92.12,20,Sunny,1,87.37,Spring
2022-02-01,S004,P0012,Groceries,South,403,155,24,145.99,37.39,20,Sunny,0,38.71,Spring
2022-02-01,S004,P0013,Clothing,West,198,184,161,191.55,85.35,10,Rainy,1,80.79,Spring
2022-02-01,S004,P0014,Electronics,East,472,16,166,28.75,82.64,0,Cloudy,0,78.35,Autumn
2022-02-01,S004,P0015,Toys,North,178,90,79,98.56,92.19,10,Snowy,1,97.07,Summer
2022-02-01,S004,P0016,Clothing,West,215,178,111,180.76,61.41,0,Sunny,0,61.32,Spring
2022-02-01,S004,P0017,Electronics,South,477,256,150,254.89,96.47,20,Cloudy,0,93.35,Spring
2022-02-01,S004,P0018,Furniture,South,198,27,62,25.51,89.33,0,Sunny,0,89.63,Spring
2022-02-01,S004,P0019,Groceries,North,110,67,83,79.41,59.49,20,Rainy,1,57.55,Spring
2022-02-01,S004,P0020,Electronics,North,254,84,112,77.15,73.05,15,Sunny,1,74.55,Autumn
2022-02-01,S005,P0001,Groceries,East,223,67,53,74.8,67.49,5,Sunny,0,65.24,Winter
2022-02-01,S005,P0002,Furniture,West,100,15,114,28.97,66.05,10,Sunny,1,65.16,Autumn
2022-02-01,S005,P0003,Toys,West,397,333,35,336.02,80.88,20,Rainy,1,84.97,Winter
2022-02-01,S005,P0004,Groceries,North,442,56,38,54.08,60.5,10,Cloudy,1,64.88,Spring
2022-02-01,S005,P0005,Furniture,West,411,165,194,172.41,71.72,20,Rainy,0,75.17,Autumn
2022-02-01,S005,P0006,Clothing,North,76,54,175,49.32,69.21,15,Rainy,1,71.17,Summer
2022-02-01,S005,P0007,Clothing,East,257,93,148,84.69,70.69,20,Snowy,0,71.37,Winter
2022-02-01,S005,P0008,Furniture,East,353,250,57,254.75,63.54,15,Cloudy,0,61.05,Summer
2022-02-01,S005,P0009,Electronics,West,119,90,76,99.63,78.08,10,Sunny,0,73.69,Winter
2022-02-01,S005,P0010,Furniture,West,403,83,77,84.32,43.09,10,Sunny,1,47.02,Spring
2022-02-01,S005,P0011,Electronics,East,60,16,149,23.98,25.67,5,Sunny,1,27.78,Winter
2022-02-01,S005,P0012,Toys,West,182,87,121,83.13,38.59,20,Rainy,0,33.87,Spring
2022-02-01,S005,P0013,Furniture,East,455,241,136,235.03,57.99,5,Sunny,0,55.4,Spring
2022-02-01,S005,P0014,Toys,South,437,286,116,282.52,14.65,20,Snowy,1,13.12,Winter
2022-02-01,S005,P0015,Clothing,West,289,60,83,52.77,63.26,0,Rainy,1,61.02,Autumn
2022-02-01,S005,P0016,Groceries,East,487,437,106,432.86,43.64,15,Cloudy,1,39.13,Autumn
2022-02-01,S005,P0017,Toys,North,418,377,76,383.26,84.85,20,Sunny,1,84.29,Summer
2022-02-01,S005,P0018,Clothing,West,89,83,113,78.67,47.05,15,Rainy,1,47.89,Spring
2022-02-01,S005,P0019,Clothing,West,421,203,152,220.23,76.83,20,Snowy,0,75.86,Spring
2022-02-01,S005,P0020,Clothing,South,211,183,189,190.11,93.95,10,Sunny,1,98.89,Spring
2022-03-01,S001,P0001,Electronics,West,154,5,189,5.36,62.7,20,Rainy,0,58.22,Winter
2022-03-01,S001,P0002,Clothing,East,282,199,70,193.26,54.02,0,Cloudy,0,52.91,Spring
2022-03-01,S001,P0003,Toys,South,183,176,124,168.28,26.03,10,Rainy,0,29.38,Winter
2022-03-01,S001,P0004,Electronics,East,239,214,51,228.51,10.19,0,Cloudy,1,7.82,Winter
2022-03-01,S001,P0005,Groceries,West,368,165,56,170.76,95.54,0,Sunny,0,91.29,Spring
2022-03-01,S001,P0006,Furniture,South,57,9,40,13.6,57.65,5,Sunny,0,58.01,Summer
2022-03-01,S001,P0007,Clothing,South,460,140,70,143.7,87.85,20,Sunny,0,91.9,Winter
2022-03-01,S001,P0008,Groceries,West,214,177,150,178.0,53.94,5,Snowy,0,51.47,Autumn
2022-03-01,S001,P0009,Groceries,South,407,217,55,217.69,61.42,20,Sunny,0,65.86,Winter
2022-03-01,S001,P0010,Electronics,West,51,47,155,38.08,99.14,10,Snowy,0,102.66,Autumn
2022-03-01,S001,P0011,Groceries,East,252,3,98,5.18,60.52,0,Cloudy,0,62.72,Autumn
2022-03-01,S001,P0012,Clothing,East,72,2,62,9.81,86.93,15,Cloudy,0,83.11,Summer
2022-03-01,S001,P0013,Clothing,South,194,18,120,20.5,83.11,10,Snowy,1,85.16,Summer
2022-03-01,S001,P0014,Toys,South,302,242,145,255.54,32.28,10,Rainy,1,30.1,Winter
2022-03-01,S001,P0015,Toys,North,330,228,157,246.91,52.17,10,Sunny,1,52.43,Summer
2022-03-01,S001,P0016,Clothing,East,148,31,160,35.11,93.61,15,Snowy,1,94.15,Spring
2022-03-01,S001,P0017,Clothing,North,315,16,197,33.51,98.25,5,Sunny,0,100.34,Spring
2022-03-01,S001,P0018,Furniture,East,97,20,147,37.26,78.53,5,Rainy,0,75.48,Autumn
2022-03-01,S001,P0019,Furniture,South,240,193,171,203.45,56.91,0,Sunny,1,54.2,Spring
2022-03-01,S001,P0020,Toys,North,178,118,162,110.02,35.32,20,Cloudy,1,37.56,Summer
2022-03-01,S002,P0001,Toys,North,405,96,171,100.82,48.08,0,Rainy,1,49.4,Autumn
2022-03-01,S002,P0002,Electronics,North,200,48,47,55.45,46.95,15,Snowy,1,43.48,Summer
2022-03-01,S002,P0003,Furniture,West,327,130,166,127.03,94.45,20,Cloudy,1,99.26,Winter
2022-03-01,S002,P0004,Groceries,North,409,11,48,8.25,27.28,10,Snowy,1,28.61,Autumn
2022-03-01,S002,P0005,Groceries,West,327,313,194,326.56,29.74,0,Snowy,1,31.67,Winter
2022-03-01,S002,P0006,Furniture,North,388,352,199,365.82,27.64,5,Snowy,0,27.19,Summer
2022-03-01,S002,P0007,Toys,South,483,265,108,277.23,60.54,5,Rainy,0,55.83,Autumn
2022-03-01,S002,P0008,Furniture,South,70,11,137,23.62,58.55,10,Cloudy,0,63.45,Summer
2022-03-01,S002,P0009,Groceries,South,288,191,29,207.27,58.59,0,Cloudy,0,60.98,Summer
2022-03-01,S002,P0010,Electronics,West,270,185,150,192.21,95.48,0,Rainy,1,91.76,Winter
2022-03-01,S002,P0011,Clothing,North,217,143,66,154.26,37.81,20,Snowy,1,37.14,Autumn
2022-03-01,S002,P0012,Electronics,West,221,85,84,104.48,48.7,10,Rainy,0,51.33,Spring
2022-03-01,S002,P0013,Groceries,West,303,270,164,268.73,65.89,10,Cloudy,0,64.52,Summer
2022-03-01,S002,P0014,Groceries,West,298,233,143,245.02,20.37,0,Rainy,1,23.3,Spring
2022-03-01,S002,P0015,Furniture,West,193,187,57,177.8,46.25,0,Snowy,0,49.2,Spring
2022-03-01,S002,P0016,Electronics,South,205,39,147,37.83,71.74,10,Rainy,0,76.17,Winter
2022-03-01,S002,P0017,Toys,West,427,234,195,231.16,20.57,10,Rainy,1,22.24,Autumn
2022-03-01,S002,P0018,Clothing,South,365,213,106,208.31,29.88,20,Rainy,1,25.73,Autumn
2022-03-01,S002,P0019,Clothing,North,111,55,163,71.88,73.98,15,Rainy,1,73.5,Winter
2022-03-01,S002,P0020,Groceries,South,271,22,178,15.3,45.02,10,Sunny,0,47.01,Spring
2022-03-01,S003,P0001,Clothing,North,134,100,185,100.66,82.88,10,Sunny,1,86.74,Autumn
2022-03-01,S003,P0002,Groceries,North,405,353,74,355.08,17.36,0,Cloudy,1,17.32,Spring
2022-03-01,S003,P0003,Electronics,West,290,255,118,246.78,42.7,20,Snowy,0,40.38,Autumn
2022-03-01,S003,P0004,Clothing,South,403,154,189,166.81,89.67,15,Sunny,0,88.99,Autumn
2022-03-01,S003,P0005,Clothing,East,311,147,29,154.97,65.77,0,Cloudy,1,61.06,Spring
2022-03-01,S003,P0006,Electronics,North,448,342,112,357.52,95.74,10,Cloudy,0,94.29,Summer
2022-03-01,S003,P0007,Furniture,West,277,54,126,48.62,98.9,0,Cloudy,0,97.62,Summer
2022-03-01,S003,P0008,Toys,East,421,289,112,292.21,41.11,15,Cloudy,0,36.9,Summer
2022-03-01,S003,P0009,Toys,South,241,179,135,198.59,42.07,0,Snowy,1,37.66,Winter
2022-03-01,S003,P0010,Furniture,South,186,175,75,177.8,95.89,0,Rainy,1,96.19,Autumn
2022-03-01,S003,P0011,Clothing,West,413,209,86,220.54,84.12,5,Sunny,0,89.06,Spring
2022-03-01,S003,P0012,Toys,East,112,109,46,113.33,71.21,20,Rainy,1,74.71,Summer
2022-03-01,S003,P0013,Groceries,South,268,43,78,49.77,49.23,0,Rainy,1,47.75,Spring
2022-03-01,S003,P0014,Toys,South,347,58,38,49.31,21.87,10,Rainy,1,25.0,Autumn
2022-03-01,S003,P0015,Electronics,South,495,399,86,390.1,60.83,0,Cloudy,1,60.34,Spring
2022-03-01,S003,P0016,Clothing,West,324,95,145,111.3,56.78,20,Rainy,0,60.75,Winter
2022-03-01,S003,P0017,Clothing,West,330,296,138,297.58,76.12,5,Snowy,0,77.55,Spring
2022-03-01,S003,P0018,Electronics,East,297,105,66,104.66,98.9,10,Sunny,0,96.55,Winter
2022-03-01,S003,P0019,Clothing,East,169,103,47,107.67,46.24,5,Cloudy,0,47.84,Autumn
2022-03-01,S003,P0020,Toys,South,257,131,103,123.65,16.35,15,Cloudy,0,19.59,Autumn
2022-03-01,S004,P0001,Groceries,East,175,66,140,56.84,83.63,15,Sunny,0,79.9,Summer
2022-03-01,S004,P0002,Groceries,West,228,163,161,161.48,81.57,0,Cloudy,1,77.66,Winter
2022-03-01,S004,P0003,Clothing,South,188,98,176,98.87,44.68,10,Snowy,0,42.55,Spring
2022-03-01,S004,P0004,Groceries,East,211,150,20,167.75,60.11,0,Rainy,1,62.3,Summer
